query,rank,similarity,customer_query,agent_response
My Fire TV Stick is not working,1,0.8494430184364319,@128308 Does not work and you don't have customer support as well https://t.co/F3QCGd0pxG,"@357560 Sorry for the trouble, Aastha. We do have support for Fire TV Stick, please reach them here: https://t.co/KGw598bWlt ^JC"
My Fire TV Stick is not working,2,0.8467910289764404,@116439 hello. My Fire stick has stopped working. Stuck on the logo screen. Can you help?,"@553967 I'm sorry your Fire Stick isn't working. Please unplug the power cable for 1 minute and then plug it back in. You may also use the remote to restart as well. For more information, you may visit this link: https://t.co/xDld9aaUw0 ^SJ"
My Fire TV Stick is not working,3,0.8433363437652588,@AmazonHelp It's been the last week or so.,"@382602 Sorry for the Fire TV Stick troubles, Rich. Restarting your device can resolve many issues. Have you attempted restarting the device? https://t.co/4Eiq16nTZl ^TH"
I cannot track my package,1,0.8622182607650757,I am not able to track my package. Can you help please ? @115850,@198363 You can track your package here: https://t.co/pYHdlcj0Ot ^SH
I cannot track my package,2,0.8067924976348877,@AmazonHelp 😥 https://t.co/1dg461rTzw,@159098 What can you see when you select 'Track Package'? ^JJ
I cannot track my package,3,0.7931944131851196,@AmazonHelp I can't see where to track the package?,"@328921 No Worries Steve, we can help.  You can track your order here: https://t.co/eVyTqezdQ0 ^SY"
My order has not arrived,1,0.8175565004348755,"@115830 my order has not yet arrived, says dispatched and should have arrived 06/11/17...can you help please? https://t.co/8PxHL178t0",@628289 I'm sorry you haven't received your order. We'd like to take a closer look into this for you here: https://t.co/JzP7hlA23B ^VS
My order has not arrived,2,0.8142251968383789,@115830 Just don't say it's on its way and is going to be delivered at a certain time. =/,@629672 I'm sorry your order has yet to arrive. Please contact us here so we can look into this: https://t.co/qy3J24VGxb ^GG
My order has not arrived,3,0.8135620355606079,@AmazonHelp Tracking ID Q40724393184 has STILL not arrived and there is no further information.,@120542 I'm sorry your order hasn't arrived. We'd like to see what our options are. Please contact us here: https://t.co/JzP7hlA23B ^LR
I was charged twice for my order,1,0.8464870452880859,@AmazonHelp Thanks for your reply. The order has been shipped out and yes it said I was charged twice.,@407855 We'd like to take a look into this. Please contact us via phone or chat at your earliest convenience: https://t.co/hApLpMlfHN ^KB
I was charged twice for my order,2,0.8349387049674988,@115850 got charged twice for the same order. How do we get in touch?,"@285584 I'm sorry for the inconvenience, please contact us here https://t.co/vlvfJr4nN9. Our support team would assist you accordingly. ^MD"
I was charged twice for my order,3,0.8339552879333496,"@115821 and @AmazonHelp I have contacted you twice about being double charged for an order. I received a refund, and then was double charged again, literally just taking the refund back. So if ya'll could get it together and actually refund me my $50 that would be choice.","@814218 Truly sorry for any inconvenience caused, this isn't our intention! Have you confirmed with your bank/financial institution that what you're seeing is an actual charge? You may be seeing an authorization. Learn more: https://t.co/aGyieqRb78 ^JE"
I want to return a product,1,0.8081809282302856,@AmazonHelp https://t.co/TVWaYwUqau,"@596664 Hello, yes you can return the item for a refund by following the instructions on this link https://t.co/cfZ5BBNZhu ^GA"
I want to return a product,2,0.7934103608131409,@AmazonHelp I understand. But I don't want a refund. I just want the product that I had actually ordered.,@367384 I do get your concern. Kindly reach out to our support team here: https://t.co/2t6DQoUmNZ for alternatives. ^MM
I want to return a product,3,0.7910587787628174,"Hello @115821 thanks for always being a sport when I need to return things. That is all. Love you, bye,",@711512 I'm glad we could help! 😁 ^MJ
