query,expected_response,max_similarity,average_similarity,confidence,retrieved_correct
"@115850 @115821 It's been 11 days since I order a product from you people, I didn't even get a single response from the delivery team. What I can see in my page is delivery unsuccessful !!! It's not acceptable at all !!!",@721911 Kindly get in touch with us here: https://t.co/vlvfJr4nN9 and we'll assist you accordingly. ^AU,0.949722170829773,0.9045231103897095,0.9361624526977539,True
画集あまぞんくんで頼んでるんだけどええい！支払い番号はまだか…！！,@798485 突然失礼いたします、公式サポートです。お支払い番号は商品によって発行時期が異なります。また、発行済みの場合には、アカウントサービスの注文履歴から番号を確認することが可能です。発行タイミングなど詳しくは、リンクのヘルプページをご参照ください。https://t.co/7XGrxNphFt TN,0.8487871289253235,0.8107731342315674,0.8373829305171967,False
Got sent this @115830 Black Friday deal earlier. It said there were 9 hours left so waited until I was home from work but the price has gone up to £211!!! Is this allowed?! #BlackFridayDeals @118374 https://t.co/eJKn7ziKaq,"@155505 I'm sorry for the trouble. Lightning Deals end when either the time has expired, or when all the items have been claimed. Learn more here: https://t.co/CceVJyhJ2O ^JM",0.9296689033508301,0.8758625388145447,0.9135269939899444,True
ぎゃあああ、Amazonまでクリック直前の画面縦ズレしやがった！　プライム体験とかいらんかったのに勝手に登録しやがったあああ！！！,@132154 ご心配をおかけしております。Amazonプライムは自動更新する設定をOFFにすることで、無料体験期間終了後に自動的にキャンセルとなります。この場合、年会費の請求は一切発生いたしません。詳しくはこちら＞ https://t.co/JrKFIybs6n　MH https://t.co/ko1uHYNBVJ,0.8732914328575134,0.8531917214393616,0.8672615194320679,True
Since I don’t have to sign for my packages can your carriers just leave them. @115821 @AmazonHelp,“Attempted Delivery” just seems like a fake out ESPECIALLY since I’m home and no one has knocked/called  @115821 @AmazonHelp,0.8940858840942383,0.8530293583869935,0.8817689263820647,True
"So I realized I have 206 steam games, 40 gog games, and 13 Uplay games a couple of origin and twitch games...a large majority of them I got for free.

I need to play my video games. 😅",Speaking of video games. @AmazonHelp you guys sent me the Limited Edition PS3 version of Final Fantasy X/X-2 remaster yesterday. I ordered the PS4 version. https://t.co/TyUlRxkYxV,0.8457956910133362,0.7692356944084168,0.8228276920318602,True
"@115833 My Alexa takes my request to play WETA (saying the letters) as a request for Wet Radio from Tune In. New behavior, started a couple months ago, worked fine before. Can't get to WETA at all. Can't find a way to correct it.","@805420 Hello! Interesting behavior, have you checked and made sure that the software is updated? You can learn how to check here: https://t.co/3BiG9LXoqd Let us know if this works! ^DA",0.9832699298858643,0.8686018347740173,0.9488695013523101,True
@115817 this is the package I received today.  This is just the beginning of the “delivery” season!  🤨 Gotta do better! @115821 https://t.co/u1UTtcoi1C,"@115817 @115821 Since this post, I have received part of my order from @127271.  The reason I say “part” of my order is because of the gaping hole in the box caused by @115817 PLEASE, explain this one and NO, I will not take a packaging problem as an excuse this time!  I’m short 10 AA batteries!😡 https://t.co/4HyO0TRrID",0.8783917427062988,0.8758973836898803,0.8776434350013733,False
は？P3・P4・P4G・P5のサントラ全部無料かよ amazon神だな,"@754455 おはようございます！Amazonです(神・ω・)
色々なコンテンツをご準備しておりますので、是非存分にお楽しみください♪TY",0.8861078023910522,0.8319535255432129,0.8698615193367003,True
あー、Amazon……オフラインでも読めるんかな,@413736 失礼いたします、Amazon公式です。Kindleのご利用をご検討いただいているご状況でしょうか。　Kindle本は、購入済みの書籍を端末にダウンロードして、オフラインでお読みいただくことができます。　SM,0.8769658803939819,0.8689135551452637,0.8745501828193665,True
