query,confidence,confidence_level,max_similarity,average_similarity,risk_level,risk_categories,escalate,reason,dataset,category,expected_decision,predicted_decision,correct
"@115850 @115821 It's been 11 days since I order a product from you people, I didn't even get a single response from the delivery team. What I can see in my page is delivery unsuccessful !!! It's not acceptable at all !!!",0.9362,high,0.9497,0.9045,low,,False,safe_for_ai,golden_set,,,,
画集あまぞんくんで頼んでるんだけどええい！支払い番号はまだか…！！,0.8374,high,0.8488,0.8108,low,,False,safe_for_ai,golden_set,,,,
Got sent this @115830 Black Friday deal earlier. It said there were 9 hours left so waited until I was home from work but the price has gone up to £211!!! Is this allowed?! #BlackFridayDeals @118374 https://t.co/eJKn7ziKaq,0.9135,high,0.9297,0.8759,low,,False,safe_for_ai,golden_set,,,,
ぎゃあああ、Amazonまでクリック直前の画面縦ズレしやがった！　プライム体験とかいらんかったのに勝手に登録しやがったあああ！！！,0.8673,high,0.8733,0.8532,low,,False,safe_for_ai,golden_set,,,,
Since I don’t have to sign for my packages can your carriers just leave them. @115821 @AmazonHelp,0.8818,high,0.8941,0.853,low,,False,safe_for_ai,golden_set,,,,
"So I realized I have 206 steam games, 40 gog games, and 13 Uplay games a couple of origin and twitch games...a large majority of them I got for free.

I need to play my video games. 😅",0.8228,high,0.8458,0.7692,low,,False,safe_for_ai,golden_set,,,,
"@115833 My Alexa takes my request to play WETA (saying the letters) as a request for Wet Radio from Tune In. New behavior, started a couple months ago, worked fine before. Can't get to WETA at all. Can't find a way to correct it.",0.9489,high,0.9833,0.8686,low,,False,safe_for_ai,golden_set,,,,
@115817 this is the package I received today.  This is just the beginning of the “delivery” season!  🤨 Gotta do better! @115821 https://t.co/u1UTtcoi1C,0.8776,high,0.8784,0.8759,low,,False,safe_for_ai,golden_set,,,,
は？P3・P4・P4G・P5のサントラ全部無料かよ amazon神だな,0.8699,high,0.8861,0.832,low,,False,safe_for_ai,golden_set,,,,
あー、Amazon……オフラインでも読めるんかな,0.8746,high,0.877,0.8689,low,,False,safe_for_ai,golden_set,,,,
Mon colis est arrivé à bon port :D @AmazonHelp,0.9243,high,0.9429,0.8809,low,,False,safe_for_ai,golden_set,,,,
@115850 where is this ..... https://t.co/SIudl3fzbz,0.8194,high,0.8266,0.8026,low,,False,safe_for_ai,golden_set,,,,
"Wow Dept.: GMgr kept giving me 20 hours/week when I repeatedly asked for 40. 8 people have quit this week, no notice.Thanks God for 40hrs!🙏🏽 https://t.co/jmd8yw74TE",0.9243,high,0.9592,0.8427,low,,False,safe_for_ai,golden_set,,,,
"After years of buying, first time I ship with Amazon Logistic and it's just a quick way to throw away my money, 800 $ lost in merchandise and you just can not be held responsible. What good policies, guys, great work. @115821 @116928, that was a Black Friday in deep",0.8547,high,0.8574,0.8482,low,,False,safe_for_ai,golden_set,,,,
@116316 Hab mir Star Wars Bettlefront 2 vorbestellt und es ist immernoch nicht angekommen,0.8694,high,0.8835,0.8365,low,,False,safe_for_ai,golden_set,,,,
Watch amazon and Nokia #UniteFor #Fun by bringing the sensational new Nokia 6 to fans all across India. #AmazonExclusive,0.8158,high,0.8211,0.8034,low,,False,safe_for_ai,golden_set,,,,
"@AmazonHelp Bonjour, j'ai passé une énorme commande informatique et j'ai reçu mon 1er paquet : pour un item à 100€ ça vous semble normal de le recevoir dans cet état ? Je me suis faite livrée au travail la personne n'a même pas eu le temps de me chercher pour refuser ou autre https://t.co/HANeqrIuyp",0.9184,high,0.9195,0.916,low,,False,safe_for_ai,golden_set,,,,
"@AmazonHelp I love firetv, but I can't keep it if I can't run Hulu Live TV. PLEASE HELP!!!!!!!!!",0.9352,high,0.954,0.8913,medium,ambiguous,True,ambiguous_query,golden_set,,,,
"Hi @115821 &amp; @1016 
Is there a problem with your 1-click buying platform? Keeps crashing when I try by an audio book with you",0.9313,high,0.9483,0.8918,low,,False,safe_for_ai,golden_set,,,,
"I order &amp; paid, then requested an update card, and I update it then they tell me to pay again but I already pay be fore @AmazonHelp",0.9139,high,0.9293,0.8779,low,,False,safe_for_ai,golden_set,,,,
"Dear @115821 

May as well use these #280characters 

For the past 5 days you have had my account on hold, during 11 phonecalls I have been repeatedly promised that someone will be in touch in the next 24 hours. Well the times your customer support didn't hang up on me. /1",0.8819,high,0.8909,0.8611,low,,False,safe_for_ai,golden_set,,,,
"Mañana es el Día Nacional del Libro (aquí en México). Esperemos que @116875 se ponga a mano.
😬😅👍",0.8813,high,0.8998,0.838,low,,False,safe_for_ai,golden_set,,,,
@115850 Package was supposed to contain two items. Got only one. Order no 408-8079642-5201107,0.8728,high,0.8787,0.8592,low,,False,safe_for_ai,golden_set,,,,
@115850 why your link gets down time to time everyday?? U gotta do something about it.,0.8448,high,0.8575,0.815,low,,False,safe_for_ai,golden_set,,,,
"@AmazonHelp It says it will be arriving today, but it also says it's delayed. Should I expect it to arrive today or not? https://t.co/HEkrQ8twpQ",0.9427,high,0.9481,0.9302,low,,False,safe_for_ai,golden_set,,,,
It is quite a comment because every time you're courier partners delay delivery dates by giving fake reasons. I'm supposed to get delivery of two orders today but both are delayed now. https://t.co/3QxONCvqdJ,0.9345,high,0.9586,0.8784,low,,False,safe_for_ai,golden_set,,,,
someone stole my amazon package I'm heated bruh,0.8696,high,0.8794,0.8469,low,,False,safe_for_ai,golden_set,,,,
Unable to set echo to work with saavn. Please help. @115850 @5503,0.8511,high,0.8674,0.813,medium,ambiguous,True,ambiguous_query,golden_set,,,,
@115830 I have amazon prime and ordered 3 items last night. All of them were available on prime and yet they aren’t coming until Thursday. Could you please tell me why? Thanks.,0.9379,high,0.9539,0.9005,low,,False,safe_for_ai,golden_set,,,,
@115850 @121294 Yesterday my LGQ6 was delivered and I complain for its heating issue but didn't get any appropriate response.,0.8422,high,0.8463,0.8327,low,,False,safe_for_ai,golden_set,,,,
@115821 will i get a refund.,0.8482,high,0.8509,0.8419,medium,financial,True,financial_issue,golden_set,,,,
"When you want to print loads things off but run out of... yellow! Can't ever print black&amp;white! Luckily ink will be here tomorrow, thank you @115830 #HatePrinters #NoInkNoFun",0.9206,high,0.9602,0.8279,low,,False,safe_for_ai,golden_set,,,,
"@115821 …. I love you. You’ve made being a pet owner so much easier. Last night we suffered the horrible loss of the only tennis ball this household owned. At least one family member started to despair, and I couldn’t run for new toys.",0.838,high,0.8499,0.8104,low,,False,safe_for_ai,golden_set,,,,
@115821 Delivered damaged product and refused replacement despite product avialability,0.8647,high,0.8803,0.8285,low,,False,safe_for_ai,golden_set,,,,
@AmazonHelp hi I’ve just ordered something but forgot about prime. Could you change this for me? Is deli every via prime free?,0.9088,high,0.9217,0.8787,low,,False,safe_for_ai,golden_set,,,,
@AmazonHelp any reason you’ve still not dispatched my order a week after I ordered it?,0.9174,high,0.9202,0.911,low,,False,safe_for_ai,golden_set,,,,
Wow @AmazonHelp has missed a handful of delivery dates this week. Prime is feeling sub-par.,0.9033,high,0.9044,0.9007,low,,False,safe_for_ai,golden_set,,,,
@115830 why do you allow #EBuyerExpress 2 sell what turns out 2 be counterfeit faulty @115858 products on ur website &amp; won’t do anything about it??!! They refuse 2 provide refund or prepaid post label 2 return goods! You’re both breaking the law!!😡😡,0.9251,high,0.9508,0.865,medium,financial,True,financial_issue,golden_set,,,,
"@115850  i want to return headphone. I receive my order, when i open it, seal is already broken.I attach pic of broken seal. No-8620977025 https://t.co/o3RRK6ZWlP",0.8865,high,0.9007,0.8533,low,,False,safe_for_ai,golden_set,,,,
Ach @116316 ... https://t.co/AT1qPqvJbr,0.8412,high,0.8524,0.815,low,,False,safe_for_ai,golden_set,,,,
"Why am I paying for amazon prime, if my order is going to be late?!",0.8864,high,0.8924,0.8724,low,,False,safe_for_ai,golden_set,,,,
