tweet_id,query,answer,decision,confidence,retrieved_context,golden_index,status,generation_mode
791549,Mon colis est arrivé à bon port :D @AmazonHelp,This is a development-mode response. A similar previous support case was found: Mon colis est arrivé à bon port :D @AmazonHelp,ai,0.9243,"[{""customer_query"": ""Mon colis est arrivé à bon port :D @AmazonHelp"", ""agent_response"": ""@216940 Bonjour, ravie que vous ayez reçu votre colis à temps et j'espère qu'il vous conviendra.😍👌^FT"", ""similarity"": 0.9428805112838745}, {""customer_query"": ""@AmazonHelp Mon colis est bien arrivé, ouvert 😬 mais bien arrivé quand même :)"", ""agent_response"": ""@139205 Bonsoir, vraiment désolé d'apprendre cela. Le colis est-il intact ? ^KD"", ""similarity"": 0.8688758611679077}, {""customer_query"": ""Excellent, @120533 se met au vert : mon colis commandé hier arrive en vélo du département voisin pour mardi ! GG Amazon Prime &lt;3"", ""agent_response"": ""@148264 Bonjour, je suis désolée d'apprendre cela. Pouvez-vous m'indiquer que dit le suivi de votre colis, s'il vous plait ? ^SB"", ""similarity"": 0.8660122156143188}, {""customer_query"": ""Mon colis @120533 est toujours pas arrivé.. je peux même pas voir où il est exactement, je pète un plomb 😓"", ""agent_response"": ""@738996 Bonjour, je suis désolée pour cela. Quelle est la date estimée de livraison ? ^SM"", ""similarity"": 0.8659032583236694}, {""customer_query"": ""Mon colis Amazon n’est pas arrivé comme prévu. Et sur le suivi y’a juste marqué « envoyé au transporteur ».... je sens qu’on me l’a volé :( cc @120533"", ""agent_response"": ""@814852 Bonjour, avez-vous contacté notre SAV dans ce sens ?^AR"", ""similarity"": 0.8608184456825256}]",11.0,success,mock
235707,@115850 where is this ..... https://t.co/SIudl3fzbz,This is a development-mode response. A similar previous support case was found: @115850 where is this ..... https://t.co/SIudl3fzbz,ai,0.8194,"[{""customer_query"": ""@115850 where is this ..... https://t.co/SIudl3fzbz"", ""agent_response"": ""@172139 Please reach out to our support team here: https://t.co/9mwpIdOzZn and we'll help you with the details of the tracking. ^ZH"", ""similarity"": 0.8266369104385376}, {""customer_query"": ""@115850 What is this??😂 https://t.co/4ZhitfrO2e"", ""agent_response"": ""@339213 Thank you for flagging this. We'll get this rectified. ^SU"", ""similarity"": 0.8001660108566284}, {""customer_query"": ""@115821 how? Where? This message is useless. https://t.co/YBvdN808zF"", ""agent_response"": ""@401615 Oh no! We'd like to look into this with you. When you can, please reach out to us here: https://t.co/CYqkdUakWJ ^GM"", ""similarity"": 0.7956900596618652}, {""customer_query"": ""@115850 https://t.co/sKtlVGcgoe"", ""agent_response"": ""@115850  https://t.co/TUFxfedIHC"", ""similarity"": 0.7955403327941895}, {""customer_query"": ""@115821 whats this\nOutside 299 inside 499 https://t.co/y6JzgSF6Zj"", ""agent_response"": ""@240450 Thank you for reporting this here. We will consider this as feedback and pass it on internally for improvements. ^RW"", ""similarity"": 0.7950730323791504}]",12.0,success,mock
1501711,"Wow Dept.: GMgr kept giving me 20 hours/week when I repeatedly asked for 40. 8 people have quit this week, no notice.Thanks God for 40hrs!🙏🏽 https://t.co/jmd8yw74TE","This is a development-mode response. A similar previous support case was found: Wow Dept.: GMgr kept giving me 20 hours/week when I repeatedly asked for 40. 8 people have quit this week, no notice.Thanks God for 40hrs!🙏🏽 https://t.co/jmd8yw74TE",ai,0.9243,"[{""customer_query"": ""Wow Dept.: GMgr kept giving me 20 hours/week when I repeatedly asked for 40. 8 people have quit this week, no notice.Thanks God for 40hrs!🙏🏽 https://t.co/jmd8yw74TE"", ""agent_response"": ""@468562 maybe she has faith in you?"", ""similarity"": 0.9592165946960449}, {""customer_query"": ""Thanks to @117795 I can enjoy my day off properly! #ps4 #Destiny2 #gaygeek #gaymer https://t.co/cwXONnbchm"", ""agent_response"": ""@182775 Solid start to the weekend Matthew!! :) Enjoy your day off! :) ^NV"", ""similarity"": 0.8169180750846863}, {""customer_query"": ""@468564 She said I have improved a lot. God made a way out of 22 hours!  I'll be at 37 hours at the end of day. With Friday Sat &amp; Sun to go!!💰🙏🏽❤️😃😍"", ""agent_response"": ""@468564 Gotta fix my car again 😐"", ""similarity"": 0.8163061141967773}, {""customer_query"": ""and 7 days after bng promised 6x ´u´ll be contacted in 24h´ my account is still down. I guess I´ll buy my xmas prsnts smwh else.  @115821"", ""agent_response"": ""@496196 Sorry to hear that Henry. Please check your spam and junk email folders in case the email was send there. ^RS"", ""similarity"": 0.8157572746276855}, {""customer_query"": ""Getting real fucking sick of @115821 fucking my shit up https://t.co/OB6SGb0dRP"", ""agent_response"": ""@157760 My apologies for any inconvenience caused- we'd like to look into this with you in real time. When you have a moment, please reach us via phone or chat here:  https://t.co/hApLpMlfHN. Keep us in the loop! ^BL"", ""similarity"": 0.8054254055023193}]",13.0,success,mock
485348,"After years of buying, first time I ship with Amazon Logistic and it's just a quick way to throw away my money, 800 $ lost in merchandise and you just can not be held responsible. What good policies, guys, great work. @115821 @116928, that was a Black Friday in deep",This is a development-mode response. A similar previous support case was found: amazon logistics is the WORST shipping  company in the world. I've had nothing but awful experiences. never did I think I'd say I no longer want to shop @115821 but I think I'm reaching that point,ai,0.8547,"[{""customer_query"": ""amazon logistics is the WORST shipping  company in the world. I've had nothing but awful experiences. never did I think I'd say I no longer want to shop @115821 but I think I'm reaching that point"", ""agent_response"": ""@785815 I'm so sorry to hear you are having issues with Amazon logistics delivery. Without revealing any personal account information, will you give us more details? ^LH"", ""similarity"": 0.857442319393158}, {""customer_query"": ""@115830 amazon logistics is an absolute joke. sort your lives out."", ""agent_response"": ""@672165 Hi Tom. Sorry to hear this. Without posting any of your personal account or order details, Can you tell us more about what has happened? ^BZ"", ""similarity"": 0.8529053330421448}, {""customer_query"": ""Rapidly coming to the conclusion that @115830’s service has gone massively downhill since Amazon Logistics took over deliveries. Should have got better, is now awful. Won’t pick up faulty goods, expect customer to pay for returns (which will be refunded allegedly). Poor show."", ""agent_response"": ""@55043 I'm sorry to hear about this poor experience, Sarah. Without sharing personal account information, could you let us know a little more about the issue you're facing? ^TH"", ""similarity"": 0.8447452783584595}, {""customer_query"": ""@AmazonHelp Wonderful....I reach out, call twice, long distance, be put on hold to be told my items are sitting in a warehouse and then get hung up on when I get mad about being offerred a refund or a free month of prime. your customer service is fucking atrocious."", ""agent_response"": ""@253554 Please send our team the details with this secure link; https://t.co/UErprzm7CB. We would like to escalate this to Amazon Logistics directly. ^EP"", ""similarity"": 0.8438081741333008}, {""customer_query"": ""@115821 Sending the fucker straight back if you can't cancel."", ""agent_response"": ""@806798 Third-party sellers sell and ship their items. Please give them two business days to respond to your e-mail about your return. ^DG"", ""similarity"": 0.8422747850418091}]",14.0,success,mock
2627604,@116316 Hab mir Star Wars Bettlefront 2 vorbestellt und es ist immernoch nicht angekommen,This is a development-mode response. A similar previous support case was found: @116316 Hab mir Star Wars Bettlefront 2 vorbestellt und es ist immernoch nicht angekommen,ai,0.8694,"[{""customer_query"": ""@116316 Hab mir Star Wars Bettlefront 2 vorbestellt und es ist immernoch nicht angekommen"", ""agent_response"": ""@742146 Hi, der Tag ist noch nicht vorbei und manche Dienstleister liefern bis 21 Uhr aus. Was sagt denn die Sendungsverfolgung? Liebe Grüße ^TA"", ""similarity"": 0.8835334777832031}, {""customer_query"": ""@AmazonHelp Ich habe Battlefront 2 Deluxe Edition vorbestellt, es sollte heute zugestellt werden und ich habe nichts bekommen!"", ""agent_response"": ""@691804 Der Tag ist ja auch noch nicht vorbei ;) Bitte gedulde doch noch etwas, ansonsten komm gerne auf uns zurück. Liebe Grüße ^TA"", ""similarity"": 0.8452116250991821}, {""customer_query"": ""Dann eben kein Battlefront 2 heute ..... Thx @158307 &amp; @116316 ....."", ""agent_response"": ""@672454 Hast du dich schon hierzu beim Kundenservice gemeldet? Hier der Link: https://t.co/ohyvGrpvrY  ^RS"", ""similarity"": 0.8228352665901184}, {""customer_query"": ""@AmazonHelp ich habe einen falschen Vorbesteller Bonusinhalt Code für Battlefront 2 bekommen. Er ist nur 16 stellig, brauche aber 25 stellen"", ""agent_response"": ""@691804 Bitte melde dich über diesen Link beim Kundenservice: https://t.co/ohyvGrpvrY. Meine Kollegen helfen dir gerne. ^RS"", ""similarity"": 0.81690514087677}, {""customer_query"": ""Scorpio ist nicht zum Release gekommen, danke @116316 . Andere bestellen Tag vorher, kam heute an. Nie wieder Vorbestellung! #XboxOneX"", ""agent_response"": ""@516095 Hi, leider kann ich das über Twitter nicht prüfen. Bitte gedulde dich noch etwas. Die Lieferung sollte bald kommen. Gruß ^TA"", ""similarity"": 0.814119815826416}]",15.0,success,mock
226168,Watch amazon and Nokia #UniteFor #Fun by bringing the sensational new Nokia 6 to fans all across India. #AmazonExclusive,This is a development-mode response. A similar previous support case was found: @174957 when do you release #nokia6 in indian local market,ai,0.8158,"[{""customer_query"": ""@174957 when do you release #nokia6 in indian local market"", ""agent_response"": ""@822464 The Nokia 6 is available already, check out @115850 for more information 🙂"", ""similarity"": 0.8210561275482178}, {""customer_query"": ""@381825 Nokia 6 is launching on Amazon. Last day to register for flash sale https://t.co/apmCkFowg9 #UniteFor #Fun #AmazonExclusive"", ""agent_response"": ""@115850 Thanks for information"", ""similarity"": 0.8177622556686401}, {""customer_query"": ""#amazongreatindianfestival #amazonindia #amazonhelp https://t.co/ygj24zMsKa"", ""agent_response"": ""that is an high end smartphone sent by Amazon India"", ""similarity"": 0.7979065179824829}, {""customer_query"": ""@115821  - Dont sell Nokia 6 if you can't take back. This phone is horrible and your support too. @174957"", ""agent_response"": ""@215880 Sorry for the trouble. May I know if you've shared your details in the link provided earlier? ^EM"", ""similarity"": 0.7902777791023254}, {""customer_query"": ""@193220 We Huddled and Kicked ideas around,TouchedDown on Passing the Football boxes out to our Fans.Thanks for the PAT on the Back!"", ""agent_response"": ""@115821 @193220 when to come nokia 6 arte black in INDIA... ? Any idea?"", ""similarity"": 0.7901892066001892}]",16.0,success,mock
2767503,"@AmazonHelp Bonjour, j'ai passé une énorme commande informatique et j'ai reçu mon 1er paquet : pour un item à 100€ ça vous semble normal de le recevoir dans cet état ? Je me suis faite livrée au travail la personne n'a même pas eu le temps de me chercher pour refuser ou autre https://t.co/HANeqrIuyp","This is a development-mode response. A similar previous support case was found: @AmazonHelp C'est fait, j'ai chaté avec un conseiller qui m'a fait tourner en rond... Enfin bon, je ne vais pas me prendre la tête pour 5€...",ai,0.9184,"[{""customer_query"": ""@AmazonHelp C'est fait, j'ai chaté avec un conseiller qui m'a fait tourner en rond... Enfin bon, je ne vais pas me prendre la tête pour 5€..."", ""agent_response"": ""@452964 J'en suis navrée, vous pouvez demander le retour de l'article contre un remboursement directement depuis votre compte également. ^KE"", ""similarity"": 0.9194929003715515}, {""customer_query"": ""@AmazonHelp Merci. \nMais être patience sur un article a 500€ commande depuis 2-3 mois payer pour être livre le jour même. \nJe pense que ça va être dur !"", ""agent_response"": ""@523371 Je comprends, le nécessaire est fait pour vous faire parvenir la commande le plus tôt possible. ^MH"", ""similarity"": 0.9179694652557373}, {""customer_query"": ""@AmazonHelp Coucou ! Question simple, j'ai passé commande hier, mais dans la nuit le produit à baisser de 10€ ! Comment faire ? :P merci"", ""agent_response"": ""@124282 Coucou :) Avez-vous toujours la possibilité d'annuler votre commande s'il vous plaît? ^SA"", ""similarity"": 0.915148138999939}, {""customer_query"": ""@AmazonHelp Ha. Un mois avant la fin de 2017, je viens d'arriver à 100 commandes cette année.\n\nça fait quand même beaucoup... Mon banquier va finir par me convoquer un jour tss... https://t.co/u6aPGtNm99"", ""agent_response"": ""@229177 Super ! 😂 Quelle est votre boutique préférée sur notre site Antoine ? ^SB"", ""similarity"": 0.914685845375061}, {""customer_query"": ""@AmazonHelp C’est pas faux, on a pas l’habitude au soleil dans notre département , la pluie et notre seul alliés lol vous pensez à tout 😋 indice 50+ https://t.co/ZbtiQlyR8L"", ""agent_response"": ""@131799 Alors, qu’est-ce qu’on fait maintenant ? On dépose nos demandes de congé 😜?"", ""similarity"": 0.9126534461975098}]",17.0,success,mock
2437761,"@AmazonHelp I love firetv, but I can't keep it if I can't run Hulu Live TV. PLEASE HELP!!!!!!!!!",,error,,,18.0,error,gemini
2843670,"Hi @115821 &amp; @1016 
Is there a problem with your 1-click buying platform? Keeps crashing when I try by an audio book with you","This is a development-mode response. A similar previous support case was found: Hi @115821 &amp; @1016 
Is there a problem with your 1-click buying platform? Keeps crashing when I try by an audio book with you",ai,0.9313,"[{""customer_query"": ""Hi @115821 &amp; @1016 \nIs there a problem with your 1-click buying platform? Keeps crashing when I try by an audio book with you"", ""agent_response"": ""@319988 I'm sorry for the tech troubles you're facing; what device are you using when attempting to purchase these audio books? ^WM"", ""similarity"": 0.9483172297477722}, {""customer_query"": ""I️ love audio books but @115821 and @1016 make it insanely hard to buy audio books. I️ have no idea how to buy one! UI and mobile sites are awful."", ""agent_response"": ""@383783 I'm sorry for the trouble. Are you getting an error when attempting to buy or are you not able to locate the buy option? ^CL"", ""similarity"": 0.9043615460395813}, {""customer_query"": ""@AmazonHelp Thanks for the tips! I've tried these things but still no luck. I'm able to listen to my audiobooks, just no 𝄞 :("", ""agent_response"": ""@700230 I'd like to have one of our team members from support lend you a hand and troubleshoot this with you; please reach out to us using the following link so we can get started: https://t.co/hApLpMlfHN ^WM"", ""similarity"": 0.8716976046562195}, {""customer_query"": ""Hey @116935 , I’m getting a lot of “stutters” I’m music I’ve downloaded. Any suggestion to fix the issue?"", ""agent_response"": ""@533105 We would certainly love to try to help fix that for you! What platform are you using to play the music? ^CN"", ""similarity"": 0.8674048185348511}, {""customer_query"": ""Amazon is playing it with my emotions and crashing every time I hit buy now."", ""agent_response"": ""@819926 I'm sorry for the tech trouble you're having; are you using the Amazon Shopping app? What device are you currently using? ^WM"", ""similarity"": 0.866997241973877}]",19.0,success,mock
2414426,"I order &amp; paid, then requested an update card, and I update it then they tell me to pay again but I already pay be fore @AmazonHelp","This is a development-mode response. A similar previous support case was found: I order &amp; paid, then requested an update card, and I update it then they tell me to pay again but I already pay be fore @AmazonHelp",ai,0.9139,"[{""customer_query"": ""I order &amp; paid, then requested an update card, and I update it then they tell me to pay again but I already pay be fore @AmazonHelp"", ""agent_response"": ""@446836 Has the charge been declined? If so, please get in contact with your bank. ^JY"", ""similarity"": 0.9293317794799805}, {""customer_query"": ""I updated the card and they try to take the money agin but I already buy it before @AmazonHelp"", ""agent_response"": ""@446836 Are you still seeing the payment revision message for your order after updating the card? ^KH"", ""similarity"": 0.8861453533172607}, {""customer_query"": ""@AmazonHelp yes but they took my money, and i did updated my payment and they still want me to pay AGAIN."", ""agent_response"": ""@695818 We don't charge for the order until the item ships. To learn more about authorizations and how to remove them, let's go here: https://t.co/uP4EP2dIpN ^GG"", ""similarity"": 0.8601430654525757}, {""customer_query"": ""@AmazonHelp I've paid for my order and you'll asking me to pay AGAIN!!? WTF?!"", ""agent_response"": ""@695818 I'm sorry for the trouble with this order! Has the item been shipped yet? ^AH"", ""similarity"": 0.8575018644332886}, {""customer_query"": ""@AmazonHelp No it was set to be shipped but they cancel it and said u need to update ur payment, and wanting me to pay AGAIN, wtf."", ""agent_response"": ""@695818 When your order is asking you to update your payment method, it means we get a decline when we try to run it. Are you already seeing a charge? Usually when you see something like that it's the initial authorization before the charge is run. ^AJ"", ""similarity"": 0.8563960194587708}]",20.0,success,mock
