tweet_id,text,conversation_length,message_length_group,conversation_length_group,intent
2538181,"@115850 @115821 It's been 11 days since I order a product from you people, I didn't even get a single response from the delivery team. What I can see in my page is delivery unsuccessful !!! It's not acceptable at all !!!",6,very_long,long,delivery_tracking
2876360,画集あまぞんくんで頼んでるんだけどええい！支払い番号はまだか…！！,2,very_short,short,payment_billing
169635,Got sent this @115830 Black Friday deal earlier. It said there were 9 hours left so waited until I was home from work but the price has gone up to £211!!! Is this allowed?! #BlackFridayDeals @118374 https://t.co/eJKn7ziKaq,3,very_long,medium,other
71993,ぎゃあああ、Amazonまでクリック直前の画面縦ズレしやがった！　プライム体験とかいらんかったのに勝手に登録しやがったあああ！！！,4,short,medium,account_subscription
1581323,Since I don’t have to sign for my packages can your carriers just leave them. @115821 @AmazonHelp,5,short,long,delivery_tracking
2119254,"So I realized I have 206 steam games, 40 gog games, and 13 Uplay games a couple of origin and twitch games...a large majority of them I got for free.

I need to play my video games. 😅",8,long,very_long,other
2909062,"@115833 My Alexa takes my request to play WETA (saying the letters) as a request for Wet Radio from Tune In. New behavior, started a couple months ago, worked fine before. Can't get to WETA at all. Can't find a way to correct it.",12,very_long,very_long,technical_support
74438,@115817 this is the package I received today.  This is just the beginning of the “delivery” season!  🤨 Gotta do better! @115821 https://t.co/u1UTtcoi1C,9,long,very_long,delivery_tracking
2681958,は？P3・P4・P4G・P5のサントラ全部無料かよ amazon神だな,2,very_short,short,other
1252190,あー、Amazon……オフラインでも読めるんかな,6,very_short,long,other
791549,Mon colis est arrivé à bon port :D @AmazonHelp,30,very_short,extreme,delivery_tracking
235707,@115850 where is this ..... https://t.co/SIudl3fzbz,34,short,extreme,delivery_tracking
1501711,"Wow Dept.: GMgr kept giving me 20 hours/week when I repeatedly asked for 40. 8 people have quit this week, no notice.Thanks God for 40hrs!🙏🏽 https://t.co/jmd8yw74TE",25,long,extreme,other
485348,"After years of buying, first time I ship with Amazon Logistic and it's just a quick way to throw away my money, 800 $ lost in merchandise and you just can not be held responsible. What good policies, guys, great work. @115821 @116928, that was a Black Friday in deep",16,very_long,extreme,delivery_tracking
2627604,@116316 Hab mir Star Wars Bettlefront 2 vorbestellt und es ist immernoch nicht angekommen,4,short,medium,delivery_tracking
226168,Watch amazon and Nokia #UniteFor #Fun by bringing the sensational new Nokia 6 to fans all across India. #AmazonExclusive,44,medium,extreme,other
2767503,"@AmazonHelp Bonjour, j'ai passé une énorme commande informatique et j'ai reçu mon 1er paquet : pour un item à 100€ ça vous semble normal de le recevoir dans cet état ? Je me suis faite livrée au travail la personne n'a même pas eu le temps de me chercher pour refuser ou autre https://t.co/HANeqrIuyp",9,very_long,very_long,delivery_tracking
2437761,"@AmazonHelp I love firetv, but I can't keep it if I can't run Hulu Live TV. PLEASE HELP!!!!!!!!!",2,short,short,technical_support
2843670,"Hi @115821 &amp; @1016 
Is there a problem with your 1-click buying platform? Keeps crashing when I try by an audio book with you",9,medium,very_long,technical_support
2414426,"I order &amp; paid, then requested an update card, and I update it then they tell me to pay again but I already pay be fore @AmazonHelp",2,medium,short,payment_billing
179299,"Dear @115821 

May as well use these #280characters 

For the past 5 days you have had my account on hold, during 11 phonecalls I have been repeatedly promised that someone will be in touch in the next 24 hours. Well the times your customer support didn't hang up on me. /1",29,very_long,extreme,account_subscription
1937576,"Mañana es el Día Nacional del Libro (aquí en México). Esperemos que @116875 se ponga a mano.
😬😅👍",2,short,short,other
1033745,@115850 Package was supposed to contain two items. Got only one. Order no 408-8079642-5201107,5,short,long,order_management
1617981,@115850 why your link gets down time to time everyday?? U gotta do something about it.,4,short,medium,technical_support
1240710,"@AmazonHelp It says it will be arriving today, but it also says it's delayed. Should I expect it to arrive today or not? https://t.co/HEkrQ8twpQ",10,medium,very_long,delivery_tracking
2414517,It is quite a comment because every time you're courier partners delay delivery dates by giving fake reasons. I'm supposed to get delivery of two orders today but both are delayed now. https://t.co/3QxONCvqdJ,2,very_long,short,delivery_tracking
2115637,someone stole my amazon package I'm heated bruh,4,very_short,medium,delivery_tracking
1493332,Unable to set echo to work with saavn. Please help. @115850 @5503,2,short,short,technical_support
2882521,@115830 I have amazon prime and ordered 3 items last night. All of them were available on prime and yet they aren’t coming until Thursday. Could you please tell me why? Thanks.,2,long,short,account_subscription
24562,@115850 @121294 Yesterday my LGQ6 was delivered and I complain for its heating issue but didn't get any appropriate response.,7,medium,long,technical_support
1843546,@115821 will i get a refund.,17,very_short,extreme,returns_refunds
2478918,"When you want to print loads things off but run out of... yellow! Can't ever print black&amp;white! Luckily ink will be here tomorrow, thank you @115830 #HatePrinters #NoInkNoFun",2,long,short,technical_support
2159258,"@115821 …. I love you. You’ve made being a pet owner so much easier. Last night we suffered the horrible loss of the only tennis ball this household owned. At least one family member started to despair, and I couldn’t run for new toys.",5,very_long,long,other
779967,@115821 Delivered damaged product and refused replacement despite product avialability,41,short,extreme,returns_refunds
612723,@AmazonHelp hi I’ve just ordered something but forgot about prime. Could you change this for me? Is deli every via prime free?,2,medium,short,account_subscription
2393479,@AmazonHelp any reason you’ve still not dispatched my order a week after I ordered it?,5,short,long,delivery_tracking
2504971,Wow @AmazonHelp has missed a handful of delivery dates this week. Prime is feeling sub-par.,2,short,short,delivery_tracking
1953417,@115830 why do you allow #EBuyerExpress 2 sell what turns out 2 be counterfeit faulty @115858 products on ur website &amp; won’t do anything about it??!! They refuse 2 provide refund or prepaid post label 2 return goods! You’re both breaking the law!!😡😡,14,very_long,very_long,seller_marketplace
786798,"@115850  i want to return headphone. I receive my order, when i open it, seal is already broken.I attach pic of broken seal. No-8620977025 https://t.co/o3RRK6ZWlP",11,long,very_long,returns_refunds
2273258,Ach @116316 ... https://t.co/AT1qPqvJbr,13,very_short,very_long,other
2599693,"Why am I paying for amazon prime, if my order is going to be late?!",6,short,long,account_subscription
2722671,The Amazon delivery guy also brought cookies for Spike. The cookies are in a box that he can't open so he has raided the dustbin for the bag they were delivered in. Greedy pig. 🙄 https://t.co/VHK4NYzDOc,3,very_long,medium,other
2384551,@115850 maine ek bat order kiya hi kab tak aayega,7,very_short,long,delivery_tracking
134804,"@116928 sabeis si hay algun problema de inicio de sesion dentro de vuestra pagina web? 
Mas que nada porque no me deja iniciar sesion ni ver mis pedidos",8,long,very_long,account_subscription
2369660,@115830 well after holding for over an hour to be told I couldn't be helped I hung up 😩#sortoutyourcallcentresamazon https://t.co/fSpz2hr0BI,19,medium,extreme,other
2592173,@AmazonHelp @115850 when can I expect it to be delivered? https://t.co/oXYA144Ok7,2,short,short,delivery_tracking
91296,"@AmazonHelp Package due to be delivered today. Two hours ago your tracking page said ""Driver is making 3 deliveries before yours"", now it says there are ""7 deliveries before yours"". Is it being delivered in a DeLorean per chance? #backtothefuture #timemachine",5,very_long,long,delivery_tracking
508211,@115830 your movies to rent are not accessible. No subtitles. What's that about?,3,short,medium,technical_support
361001,Hey @115821 how about getting a delivery option that doesn't lie. No package; no note. Been home all morning. https://t.co/3u6VixgBiw,8,medium,very_long,delivery_tracking
888465,@115821 @120533 j'ai souscrit à Labbonement de audible est je n'ai toujours pas reçu le coup' de reduction ( le code ) de 5 euros qui est normalement applicable sur le site ?!,2,long,short,product_information
1072536,@AmazonHelp Hey guys.. Cloud Sync never finishes syncing. Issue has persisted for months on and off. Desktop app needs an upgrade. https://t.co/leiUfFz5TW,6,long,long,technical_support
2110289,"@115833 The routines option is not working, whatever phrase I enter, the app tells me Alexa cant do that. Even the phrases that are the examples",21,medium,extreme,technical_support
877629,Tomorrow it will be 25 days since I made this order and final date conveyed to me for delivery. @AmazonHelp @115850 Will it be fulfilled ? https://t.co/ODJtaOmUBQ,20,long,extreme,delivery_tracking
2518087,Where’s the foliage at?! @115821 https://t.co/2XybGAvuOn,5,short,long,other
1437463,Surpassed delivery due date still no Response from Amazon #Fakesellers #untraceabletrakingid #AmazonIndia #Order Id - 171-5675025-6285128 https://t.co/wCcVgcnEzy,6,long,long,delivery_tracking
2763469,@132994 @115850 I'm so hurt https://t.co/Qnv1sHJT8F,4,short,medium,other
1377714,"#iPhone8AppQuiz
Have you declared the results for iphone 8 app quiz? @AmazonHelp",16,short,extreme,other
